number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,user_attrs_fold_hit_rates,state
0,0.5,2026-02-24 05:31:52.252676,2026-02-24 05:32:23.156233,0 days 00:00:30.903557,0.05468182242903415,4,128,30,0.0006218662206856235,64,2,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
1,0.5,2026-02-24 05:32:23.156272,2026-02-24 05:32:48.774522,0 days 00:00:25.618250,0.23725570404045634,3,32,120,0.0004770222149169144,64,2,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
2,0.5,2026-02-24 05:32:48.774561,2026-02-24 05:33:19.543353,0 days 00:00:30.768792,0.16769948673098964,4,128,110,0.0005815853716131383,128,2,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
3,0.5,2026-02-24 05:33:19.543392,2026-02-24 05:33:34.852983,0 days 00:00:15.309591,0.20205843641846086,1,64,70,0.00020928613598598198,64,8,4,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
4,0.5,2026-02-24 05:33:34.853024,2026-02-24 05:33:55.631440,0 days 00:00:20.778416,0.2484863570926551,2,32,120,0.000892021225347189,256,8,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
5,0.5,2026-02-24 05:33:55.631478,2026-02-24 05:34:53.239273,0 days 00:00:57.607795,0.2066672877613242,5,64,120,0.00044997427017634507,256,8,4,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
6,0.5,2026-02-24 05:34:53.239313,2026-02-24 05:35:08.581825,0 days 00:00:15.342512,0.10509209623770513,1,32,140,0.0007526529554501975,256,8,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
7,0.5,2026-02-24 05:35:08.581865,2026-02-24 05:35:44.799489,0 days 00:00:36.217624,0.23730500037581337,5,64,90,0.0006801292530743368,32,8,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
8,0.5,2026-02-24 05:35:44.799528,2026-02-24 05:36:21.061250,0 days 00:00:36.261722,0.16361396250274568,5,32,40,0.0003778461054577888,128,4,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
9,0.5,2026-02-24 05:36:21.061291,2026-02-24 05:36:46.429665,0 days 00:00:25.368374,0.17243325998019515,3,32,20,0.00017254852721306798,128,2,16,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
11,0.5,2026-02-24 05:37:12.096428,2026-02-24 05:37:37.896411,0 days 00:00:25.799983,0.08384008394455357,3,128,80,0.0001073128053760005,64,2,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
12,0.5,2026-02-24 05:37:37.896452,2026-02-24 05:38:08.765144,0 days 00:00:30.868692,0.2999055822275971,4,128,50,0.0004743131912862502,64,2,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
13,0.5,2026-02-24 05:38:08.765185,2026-02-24 05:38:39.615005,0 days 00:00:30.849820,0.027463476768908535,4,32,100,0.00033819855088916697,64,2,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
14,0.5,2026-02-24 05:38:39.615046,2026-02-24 05:39:00.086472,0 days 00:00:20.471426,0.1005555397949269,2,128,140,0.0009433015749076308,64,2,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
16,0.5,2026-02-24 05:39:30.834001,2026-02-24 05:39:51.489872,0 days 00:00:20.655871,0.29737218503657203,2,128,70,0.00027743503019675447,512,2,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
15,0.5,2026-02-24 05:39:00.086511,2026-02-24 05:39:30.833959,0 days 00:00:30.747448,0.06276582265167854,4,32,20,0.0005266095784895443,32,2,4,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
17,0.5,2026-02-24 05:39:51.489913,2026-02-24 05:40:22.465725,0 days 00:00:30.975812,0.25617739522892186,4,128,40,0.0006435657420027747,64,4,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
18,0.5,2026-02-24 05:40:22.465764,2026-02-24 05:40:48.229812,0 days 00:00:25.764048,0.06657894547895589,3,32,120,0.00037937269823945307,64,2,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
