number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,user_attrs_fold_hit_rates,state
0,0.5,2026-02-24 07:29:14.487903,2026-02-24 07:29:30.030239,0 days 00:00:15.542336,0.28142054898006436,1,64,90,0.00021524563160186646,512,8,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
1,0.5,2026-02-24 07:29:30.030280,2026-02-24 07:29:45.573125,0 days 00:00:15.542845,0.2102962629911352,1,64,50,0.0002091136259626935,512,8,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
2,0.5,2026-02-24 07:29:45.573166,2026-02-24 07:30:11.482942,0 days 00:00:25.909776,0.282534127833161,3,128,80,0.0004752608506200378,64,2,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
3,0.5,2026-02-24 07:30:11.482982,2026-02-24 07:30:31.975133,0 days 00:00:20.492151,0.20309005607490552,2,128,100,0.00022903066066649495,32,4,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
5,0.5,2026-02-24 07:31:08.104959,2026-02-24 07:31:28.842432,0 days 00:00:20.737473,0.21450641593272568,2,128,110,0.0006159954045247524,64,8,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
7,0.5,2026-02-24 07:32:05.926968,2026-02-24 07:32:26.614856,0 days 00:00:20.687888,0.05706933575668466,2,32,30,0.0002859030096823243,256,8,4,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
9,0.5,2026-02-24 07:33:02.683044,2026-02-24 07:33:18.122617,0 days 00:00:15.439573,0.024241545421367104,1,32,50,0.00019186743686244254,512,4,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
12,0.5,2026-02-24 07:34:04.138454,2026-02-24 07:34:19.446993,0 days 00:00:15.308539,0.25330899402521634,1,64,60,0.00016442732981013323,512,8,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
11,0.5,2026-02-24 07:33:48.845124,2026-02-24 07:34:04.138414,0 days 00:00:15.293290,0.17310173416143732,1,64,70,0.00013074026483613917,512,8,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
10,0.5,2026-02-24 07:33:18.122656,2026-02-24 07:33:48.845085,0 days 00:00:30.722429,0.2988788281950636,4,64,140,0.00011098161264085016,128,8,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
14,0.5,2026-02-24 07:34:45.542589,2026-02-24 07:35:00.753032,0 days 00:00:15.210443,0.14078436453126852,1,64,90,0.00029090459284392844,32,8,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
15,0.5,2026-02-24 07:35:00.753069,2026-02-24 07:35:15.941668,0 days 00:00:15.188599,0.25482164877672214,1,64,60,0.0001640436913227482,128,8,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
16,0.5,2026-02-24 07:35:15.941724,2026-02-24 07:35:46.901717,0 days 00:00:30.959993,0.26710266753933276,4,64,80,0.00020955717270636093,512,2,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
13,0.5,2026-02-24 07:34:19.447031,2026-02-24 07:34:45.542550,0 days 00:00:26.095519,0.18581422107687995,3,64,20,0.000370489634373496,512,8,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
17,0.5,2026-02-24 07:35:46.901757,2026-02-24 07:36:07.510392,0 days 00:00:20.608635,0.16059665058270484,2,64,120,0.00036712698365765805,512,8,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
