number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,user_attrs_fold_hit_rates,state
1,0.5,2026-02-24 12:27:26.915151,2026-02-24 12:27:49.157149,0 days 00:00:22.241998,0.25101875849503424,2,64,100,0.00015384365555715869,256,8,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
2,0.5,2026-02-24 12:27:49.157190,2026-02-24 12:28:15.857749,0 days 00:00:26.700559,0.22154602457406955,3,32,110,0.0004046034326831997,64,4,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
14,0.5,2026-02-24 12:33:16.544908,2026-02-24 12:33:43.051577,0 days 00:00:26.506669,0.2458147027424152,3,64,70,0.000158478070345616,64,2,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
3,0.5,2026-02-24 12:28:15.857789,2026-02-24 12:28:47.931333,0 days 00:00:32.073544,0.1616956663897136,4,128,50,0.0005191063990164894,128,2,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
4,0.5,2026-02-24 12:28:47.931374,2026-02-24 12:29:19.731366,0 days 00:00:31.799992,0.11383668879962176,4,64,40,0.00034081072418859964,128,4,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
6,0.5,2026-02-24 12:29:37.473019,2026-02-24 12:29:58.698979,0 days 00:00:21.225960,0.21234499399659493,2,64,30,0.00011449508846699756,512,4,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
8,0.5,2026-02-24 12:30:19.926693,2026-02-24 12:31:04.518973,0 days 00:00:44.592280,0.26818459456576693,3,64,140,0.00025680943279621763,128,8,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
7,0.5,2026-02-24 12:29:58.699019,2026-02-24 12:30:19.926635,0 days 00:00:21.227616,0.26585029013346484,2,128,100,0.0001185859216961418,32,8,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
9,0.5,2026-02-24 12:31:04.519013,2026-02-24 12:31:25.716057,0 days 00:00:21.197044,0.10087244095861371,2,64,60,0.000388069943756333,32,2,4,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
10,0.5,2026-02-24 12:31:25.716096,2026-02-24 12:32:02.499482,0 days 00:00:36.783386,0.29873736366803916,5,32,80,0.00019349048519147312,256,8,16,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
