number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,state
10,0.75,2026-02-22 17:37:07.049947,2026-02-22 17:37:44.883818,0 days 00:00:37.833871,0.08470237885213956,3,128,100,0.00011101550045307833,128,4,16,2,COMPLETE
21,0.75,2026-02-22 17:45:33.287737,2026-02-22 17:46:09.198494,0 days 00:00:35.910757,0.06510323349205141,3,128,100,0.00010631802152588712,128,4,16,2,COMPLETE
41,0.75,2026-02-22 17:58:19.700048,2026-02-22 17:58:53.958568,0 days 00:00:34.258520,0.07940319800466053,3,128,100,0.0001102204569928372,128,4,16,2,COMPLETE
42,0.75,2026-02-22 17:58:53.958612,2026-02-22 17:59:29.226987,0 days 00:00:35.268375,0.08568823895182419,3,128,100,0.00011002979111764855,128,4,16,2,COMPLETE
22,0.75,2026-02-22 17:46:09.198583,2026-02-22 17:46:45.265498,0 days 00:00:36.066915,0.04221634898983884,3,128,100,0.00011715164321877394,128,4,16,2,COMPLETE
43,0.75,2026-02-22 17:59:29.227058,2026-02-22 18:00:05.628657,0 days 00:00:36.401599,0.08322751376679943,3,128,100,0.00010761917473837534,128,4,16,2,COMPLETE
17,0.625,2026-02-22 17:42:19.885199,2026-02-22 17:42:56.308849,0 days 00:00:36.423650,0.11943501634330882,3,32,90,0.0004664089788129238,128,4,16,2,COMPLETE
13,0.625,2026-02-22 17:38:58.903964,2026-02-22 17:40:06.765210,0 days 00:01:07.861246,0.026173194583342413,4,128,140,0.00010214169165600323,128,4,16,2,COMPLETE
11,0.625,2026-02-22 17:37:44.883886,2026-02-22 17:38:22.395277,0 days 00:00:37.511391,0.0794052338115729,3,128,100,0.00010352030805974718,128,4,16,2,COMPLETE
36,0.625,2026-02-22 17:55:20.733431,2026-02-22 17:56:04.820499,0 days 00:00:44.087068,0.1371558732873091,5,64,120,0.00011521068292786908,64,2,16,2,COMPLETE
18,0.625,2026-02-22 17:42:56.308908,2026-02-22 17:43:44.582055,0 days 00:00:48.273147,0.05461068713273466,5,128,110,0.00012405872668791869,128,8,4,4,COMPLETE
24,0.625,2026-02-22 17:47:30.940826,2026-02-22 17:48:07.440724,0 days 00:00:36.499898,0.0019270329998907348,3,128,90,0.000100353566634231,128,4,16,2,COMPLETE
31,0.625,2026-02-22 17:51:30.158985,2026-02-22 17:52:12.570020,0 days 00:00:42.411035,0.0724522285294161,4,32,100,0.00016565738639335315,128,8,16,2,COMPLETE
12,0.625,2026-02-22 17:38:22.395370,2026-02-22 17:38:58.903902,0 days 00:00:36.508532,0.08089717324415377,3,128,80,0.0001789054276041779,128,4,16,2,COMPLETE
27,0.625,2026-02-22 17:49:17.034080,2026-02-22 17:49:53.386329,0 days 00:00:36.352249,0.10047747034265944,3,128,100,0.0001304733881351303,128,4,16,2,COMPLETE
1,0.625,2026-02-22 17:31:27.463442,2026-02-22 17:32:10.409637,0 days 00:00:42.946195,0.07452973393977423,4,32,100,0.0001649515285492747,128,8,16,2,COMPLETE
34,0.5416666666666666,2026-02-22 17:53:31.454315,2026-02-22 17:54:42.133846,0 days 00:01:10.679531,0.06599980372557993,4,128,130,0.00024975447478807163,256,4,16,2,COMPLETE
0,0.5,2026-02-22 17:30:57.577697,2026-02-22 17:31:27.463369,0 days 00:00:29.885672,0.16237305691492096,2,32,70,0.0005259404986655735,128,8,4,2,COMPLETE
16,0.5,2026-02-22 17:41:32.993898,2026-02-22 17:42:19.885106,0 days 00:00:46.891208,0.12235892925036294,2,128,120,0.00013226767678838257,256,8,16,2,COMPLETE
15,0.5,2026-02-22 17:40:49.647947,2026-02-22 17:41:32.993831,0 days 00:00:43.345884,0.04492629841312555,4,32,60,0.0002155643088885368,512,4,16,8,COMPLETE
14,0.5,2026-02-22 17:40:06.765277,2026-02-22 17:40:49.647870,0 days 00:00:42.882593,0.1166005310875364,3,128,100,0.00018223663753247902,32,8,16,2,COMPLETE
5,0.5,2026-02-22 17:33:52.310854,2026-02-22 17:34:35.242683,0 days 00:00:42.931829,0.26844598151220567,4,32,60,0.00014693579529757866,64,2,16,2,COMPLETE
6,0.5,2026-02-22 17:34:35.242742,2026-02-22 17:35:02.770618,0 days 00:00:27.527876,0.28641280872161473,1,64,40,0.0008074059235120414,64,2,16,4,COMPLETE
7,0.5,2026-02-22 17:35:02.770678,2026-02-22 17:35:34.000572,0 days 00:00:31.229894,0.19876341170177073,2,64,90,0.0003541407473910953,32,8,8,4,COMPLETE
8,0.5,2026-02-22 17:35:34.000639,2026-02-22 17:36:17.229712,0 days 00:00:43.229073,0.1625927173496867,4,32,30,0.00033364616570907027,64,8,4,4,COMPLETE
9,0.5,2026-02-22 17:36:17.229790,2026-02-22 17:37:07.049878,0 days 00:00:49.820088,0.00416332881075322,5,32,40,0.0003205418470035084,128,2,8,8,COMPLETE
3,0.5,2026-02-22 17:32:37.074497,2026-02-22 17:33:25.414842,0 days 00:00:48.340345,0.20234488002484324,5,128,120,0.00014608879161978993,512,2,16,8,COMPLETE
4,0.5,2026-02-22 17:33:25.414940,2026-02-22 17:33:52.310791,0 days 00:00:26.895851,0.07484546735571247,1,32,110,0.0003007911142203575,256,8,8,2,COMPLETE
2,0.5,2026-02-22 17:32:10.409698,2026-02-22 17:32:37.074422,0 days 00:00:26.664724,0.228466381461372,1,64,130,0.00025709608654863784,64,4,4,2,COMPLETE
28,0.5,2026-02-22 17:49:53.386417,2026-02-22 17:50:23.600017,0 days 00:00:30.213600,0.0599657179512883,2,128,130,0.0009398813440228353,128,4,8,8,COMPLETE
25,0.5,2026-02-22 17:48:07.440802,2026-02-22 17:48:41.061959,0 days 00:00:33.621157,0.05428769971510626,2,128,110,0.00011836182759915114,32,4,16,2,COMPLETE
23,0.5,2026-02-22 17:46:45.265560,2026-02-22 17:47:30.940761,0 days 00:00:45.675201,0.03260407112771971,3,128,120,0.00011941620839090022,128,4,16,2,COMPLETE
20,0.5,2026-02-22 17:44:28.178958,2026-02-22 17:45:33.287667,0 days 00:01:05.108709,0.14594247360609233,2,128,140,0.00022303945490166827,512,8,16,2,COMPLETE
19,0.5,2026-02-22 17:43:44.582147,2026-02-22 17:44:28.178896,0 days 00:00:43.596749,0.09799733422777601,4,64,80,0.00019310135759252853,128,4,8,8,COMPLETE
40,0.5,2026-02-22 17:57:41.979954,2026-02-22 17:58:19.699984,0 days 00:00:37.720030,0.041426822561598034,3,64,70,0.00014484068944008939,128,4,16,2,COMPLETE
32,0.5,2026-02-22 17:52:12.570090,2026-02-22 17:52:56.042323,0 days 00:00:43.472233,0.03466123632753091,4,32,90,0.00011233822033223306,128,4,16,2,COMPLETE
30,0.5,2026-02-22 17:50:59.528305,2026-02-22 17:51:30.158928,0 days 00:00:30.630623,0.09886574029085103,2,128,80,0.000612905043811721,128,4,4,2,COMPLETE
29,0.5,2026-02-22 17:50:23.600066,2026-02-22 17:50:59.528242,0 days 00:00:35.928176,0.15325190294632385,3,128,60,0.00041509309496107736,128,4,4,4,COMPLETE
26,0.5,2026-02-22 17:48:41.062024,2026-02-22 17:49:17.034005,0 days 00:00:35.971981,0.023285968506351902,3,128,70,0.0001507345376510048,256,4,16,2,COMPLETE
38,0.5,2026-02-22 17:56:31.752751,2026-02-22 17:57:12.755332,0 days 00:00:41.002581,0.25391949579291573,4,128,90,0.00021040253194727876,128,8,8,8,COMPLETE
