number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,state
9,0.75,2026-02-24 07:44:14.517186,2026-02-24 07:44:47.606616,0 days 00:00:33.089430,0.041590841992726155,2,128,40,0.0009973767694934682,128,4,8,2,COMPLETE
23,0.6875,2026-02-24 07:52:03.552144,2026-02-24 07:52:36.825330,0 days 00:00:33.273186,0.03349866968762399,2,128,100,0.0005039104740252257,64,2,4,2,COMPLETE
12,0.625,2026-02-24 07:45:53.248362,2026-02-24 07:46:39.709020,0 days 00:00:46.460658,0.059689175264820565,2,128,110,0.0009718826019216206,128,8,4,2,COMPLETE
4,0.625,2026-02-24 07:40:54.439506,2026-02-24 07:41:22.195105,0 days 00:00:27.755599,0.008330614737504915,1,128,90,0.00031627931180766637,256,2,4,2,COMPLETE
47,0.625,2026-02-24 08:07:03.853626,2026-02-24 08:07:41.599120,0 days 00:00:37.745494,0.04861702985120428,2,128,100,0.0004981461065479083,128,4,4,2,COMPLETE
44,0.625,2026-02-24 08:05:22.408730,2026-02-24 08:05:55.430275,0 days 00:00:33.021545,0.03635468617612768,2,128,110,0.0007269595855528445,128,8,4,4,COMPLETE
29,0.625,2026-02-24 07:55:41.473644,2026-02-24 07:56:19.906290,0 days 00:00:38.432646,0.047205899731628975,3,32,100,0.0006427531761923917,64,4,8,4,COMPLETE
31,0.625,2026-02-24 07:57:04.643824,2026-02-24 07:57:32.732811,0 days 00:00:28.088987,0.02035538899905126,1,128,100,0.0002979489813628745,256,2,4,2,COMPLETE
22,0.625,2026-02-24 07:51:38.479574,2026-02-24 07:52:03.552082,0 days 00:00:25.072508,0.00033081557385985193,1,128,60,0.0002776718325511618,256,2,4,2,COMPLETE
0,0.625,2026-02-24 07:38:25.331811,2026-02-24 07:38:56.208449,0 days 00:00:30.876638,0.03914606209785998,2,128,80,0.0005326639172980287,128,8,4,4,COMPLETE
34,0.625,2026-02-24 07:58:26.389023,2026-02-24 07:58:53.185933,0 days 00:00:26.796910,0.08048380544079267,1,128,120,0.0003842766627204013,32,2,4,2,COMPLETE
25,0.5833333333333333,2026-02-24 07:53:12.890865,2026-02-24 07:53:46.107173,0 days 00:00:33.216308,0.032668451016308934,2,128,100,0.00048331126293637585,64,2,8,4,COMPLETE
42,0.5833333333333333,2026-02-24 08:03:23.865462,2026-02-24 08:04:25.681268,0 days 00:01:01.815806,0.017936734393819098,2,128,140,0.0009794741068980225,128,8,4,2,COMPLETE
