cutoff,unique_id,ds,PatchTST-median,PatchTST-lo-95,PatchTST-lo-80,PatchTST-hi-80,PatchTST-hi-95,y,signal,strat_ret,cum_strat,cum_market
2024-12-20,AAPL_price,2025-01-03,-0.007853875,-0.016011782,-0.014794182,0.007713114,0.019280294,-0.00201150585300393,-1,0.00201150585300393,1.0020135302880624,0.9979905158690986
2024-12-23,AAPL_price,2025-01-03,0.0026744471,-0.01832097,-0.0108955735,0.0077344356,0.015401703,-0.00201150585300393,1,-0.00201150585300393,1.0,0.9959850697646695
2024-12-24,AAPL_price,2025-01-03,-0.004199894,-0.023063544,-0.019812442,0.004128012,0.012145062,-0.00201150585300393,-1,0.00201150585300393,1.0020135302880624,0.9939836535723627
2024-12-26,AAPL_price,2025-01-03,-0.0041145245,-0.028965833,-0.019521516,0.0028293743,0.011719627,-0.00201150585300393,-1,0.00201150585300393,1.0040311148803456,0.9919862591941336
2024-12-27,AAPL_price,2025-01-03,0.0015510675,-0.021347709,-0.012714347,0.010715284,0.017303169,-0.00201150585300393,1,-0.00201150585300393,1.0020135302880624,0.9899928785482107
2024-12-30,AAPL_price,2025-01-03,-0.0084341355,-0.02788679,-0.016970996,0.005857246,0.018920604,-0.00201150585300393,-1,0.00201150585300393,1.0040311148803456,0.9880035035690627
2024-12-31,AAPL_price,2025-01-03,-0.0013103965,-0.021795949,-0.015507307,0.0071199457,0.017715717,-0.00201150585300393,-1,0.00201150585300393,1.0060527619403143,0.9860181262073657
2025-01-03,AAPL_price,2025-01-06,-0.00375953,-0.018144373,-0.011104792,0.015427185,0.028093683,0.006716438376169816,-1,-0.006716438376169816,0.9993183116380008,0.9926629459717905
2025-01-06,AAPL_price,2025-01-07,0.0006388258,-0.008228316,-0.0024652677,0.0018822434,0.007677194,-0.011453152858923678,1,-0.011453152858923678,0.9879382593966699,0.9813586838046379
2025-01-07,AAPL_price,2025-01-08,-0.0010838145,-0.0138371475,-0.010923004,0.006023527,0.017976243,0.002020983524134122,-1,-0.002020983524134122,0.9859436686479757,0.983343999004797
