number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,state
2,1.0,2026-02-23 02:34:28.562919,2026-02-23 02:34:58.705053,0 days 00:00:30.142134,0.2496812274077092,1,128,80,0.00032107200555767844,32,2,4,4,COMPLETE
25,0.95,2026-02-23 02:47:48.917787,2026-02-23 02:48:39.540447,0 days 00:00:50.622660,0.0915764434688397,4,64,80,0.0007178866682559061,32,2,4,4,COMPLETE
12,0.9375,2026-02-23 02:40:41.444921,2026-02-23 02:41:23.607402,0 days 00:00:42.162481,0.0018955837247818536,1,64,110,0.0004248354178174639,128,8,16,4,COMPLETE
34,0.875,2026-02-23 02:53:39.231074,2026-02-23 02:54:21.695100,0 days 00:00:42.464026,0.13494974764619755,3,64,80,0.0004945955845762312,128,2,4,4,COMPLETE
44,0.875,2026-02-23 02:59:25.384274,2026-02-23 03:00:08.374877,0 days 00:00:42.990603,0.09107672299400148,3,64,90,0.00034300973205077066,128,8,16,4,COMPLETE
41,0.875,2026-02-23 02:57:24.002833,2026-02-23 02:58:13.112874,0 days 00:00:49.110041,0.09025822848553854,4,64,80,0.0003630401428329378,128,8,16,4,COMPLETE
32,0.875,2026-02-23 02:52:18.673892,2026-02-23 02:53:08.871399,0 days 00:00:50.197507,0.11466908065403682,4,64,90,0.0002802560664267064,128,8,16,4,COMPLETE
31,0.875,2026-02-23 02:51:27.172389,2026-02-23 02:52:18.673794,0 days 00:00:51.501405,0.0889117664070686,4,64,80,0.0003675377927546329,128,8,16,4,COMPLETE
24,0.875,2026-02-23 02:47:00.039830,2026-02-23 02:47:48.917677,0 days 00:00:48.877847,0.09074022031829496,4,64,80,0.00038140487670304963,128,8,16,4,COMPLETE
42,0.875,2026-02-23 02:58:13.112951,2026-02-23 02:59:00.784655,0 days 00:00:47.671704,0.13001354838297277,4,64,80,0.0003963726617380402,128,8,16,4,COMPLETE
0,0.8333333333333334,2026-02-23 02:33:03.100551,2026-02-23 02:33:49.560865,0 days 00:00:46.460314,0.015468164680584883,3,64,50,0.00024567252630802906,128,8,16,4,COMPLETE
11,0.8125,2026-02-23 02:39:41.327787,2026-02-23 02:40:41.444839,0 days 00:01:00.117052,0.002315037754712708,5,64,70,0.00024939017861046756,32,8,16,4,COMPLETE
13,0.8125,2026-02-23 02:41:23.607461,2026-02-23 02:42:13.700148,0 days 00:00:50.092687,0.2001657415886196,1,64,110,0.000446482153644823,256,8,16,4,COMPLETE
26,0.7916666666666666,2026-02-23 02:48:39.540521,2026-02-23 02:49:38.363293,0 days 00:00:58.822772,0.04362313181212427,5,64,100,0.0006983740220649888,32,2,4,4,COMPLETE
35,0.775,2026-02-23 02:54:21.695173,2026-02-23 02:55:12.243850,0 days 00:00:50.548677,0.049318809894778104,4,128,70,0.0003725398706491067,512,2,8,8,COMPLETE
9,0.75,2026-02-23 02:38:42.715214,2026-02-23 02:39:18.930303,0 days 00:00:36.215089,0.2061690035527808,2,32,90,0.00019278583405527873,64,8,8,4,COMPLETE
8,0.75,2026-02-23 02:38:11.036245,2026-02-23 02:38:42.715166,0 days 00:00:31.678921,0.13163855272130356,2,32,90,0.0006099437877399688,64,4,8,8,COMPLETE
17,0.75,2026-02-23 02:43:37.315226,2026-02-23 02:44:35.129674,0 days 00:00:57.814448,0.15024037281315045,5,64,70,0.0006242848369987633,32,2,16,4,COMPLETE
22,0.75,2026-02-23 02:45:59.754697,2026-02-23 02:46:42.300969,0 days 00:00:42.546272,0.01906948936834786,3,64,60,0.00023595323891669026,128,8,16,4,COMPLETE
16,0.75,2026-02-23 02:43:02.978071,2026-02-23 02:43:37.315150,0 days 00:00:34.337079,0.2978773384500325,1,128,120,0.0003024784049979572,128,8,16,2,COMPLETE
47,0.725,2026-02-23 03:00:54.587588,2026-02-23 03:01:25.451694,0 days 00:00:30.864106,0.04629196836191982,1,64,90,0.00041261305612908287,32,8,16,4,COMPLETE
28,0.6666666666666666,2026-02-23 02:50:03.589502,2026-02-23 02:50:18.571229,0 days 00:00:14.981727,0.07669051105237255,1,32,130,0.0007657247932455762,32,2,4,2,PRUNED
38,0.6666666666666666,2026-02-23 02:55:59.566372,2026-02-23 02:56:43.861945,0 days 00:00:44.295573,0.17514255180711552,5,128,40,0.00015162716177511603,64,2,4,2,PRUNED
1,0.625,2026-02-23 02:33:49.560992,2026-02-23 02:34:28.562799,0 days 00:00:39.001807,0.11496303323015461,2,128,40,0.00015570439855282597,512,2,16,8,COMPLETE
15,0.625,2026-02-23 02:42:32.472281,2026-02-23 02:43:02.978035,0 days 00:00:30.505754,0.2403524900474563,1,64,110,0.0008926984351261223,32,2,4,4,PRUNED
3,0.625,2026-02-23 02:34:58.705141,2026-02-23 02:35:41.434901,0 days 00:00:42.729760,0.057809073975430766,3,128,130,0.00032013055765337314,32,4,4,4,COMPLETE
