cutoff,unique_id,ds,PatchTST-median,PatchTST-lo-95,PatchTST-lo-80,PatchTST-hi-80,PatchTST-hi-95,y,signal,strat_ret,cum_strat,cum_market
2024-12-20,ABBV_price,2025-01-03,0.004828416,-0.034540683,-0.021204116,0.022321189,0.03657581,0.009870839869942827,1,0.009870839869942827,1.0099197172978602,1.0099197172978602
2024-12-23,ABBV_price,2025-01-03,-0.00638929,-0.03244411,-0.028235547,0.030389015,0.03059614,0.009870839869942827,-1,-0.009870839869942827,1.0,1.01993783538699
2024-12-24,ABBV_price,2025-01-03,0.00043330155,-0.02737992,-0.027630175,0.013610849,0.015645772,0.009870839869942827,1,0.009870839869942827,1.0099197172978602,1.0300553303754203
2024-12-26,ABBV_price,2025-01-03,-0.002796846,-0.058485717,-0.028381841,0.028140621,0.042331345,0.009870839869942827,-1,-0.009870839869942827,1.0,1.0402731880538987
2024-12-27,ABBV_price,2025-01-03,-0.010191842,-0.033621572,-0.022399826,-0.0047634235,0.011808518,0.009870839869942827,-1,-0.009870839869942827,0.9901777169729873,1.050592403991937
2024-12-30,ABBV_price,2025-01-03,-0.0036372421,-0.025909249,-0.014088776,0.017010476,0.01987278,0.009870839869942827,-1,-0.009870839869942827,0.9804519111898373,1.0610139836348165
2024-12-31,ABBV_price,2025-01-03,-0.006464947,-0.033551507,-0.019479,0.009851953,0.030805085,0.009870839869942827,-1,-0.009870839869942827,0.9708216350237553,1.0715389424015502
2025-01-03,ABBV_price,2025-01-06,0.013340859,-0.02254309,-0.021107398,0.03220687,0.040755786,-0.0061994682549024035,1,-0.0061994682549024035,0.96482167461486,1.064916519704057
2025-01-06,ABBV_price,2025-01-07,0.0023318348,-0.029878363,-0.009651843,0.014729993,0.018672954,-0.0031698912885647474,1,-0.0031698912885647474,0.9617681370414386,1.061546194709263
2025-01-07,ABBV_price,2025-01-08,0.01039228,-0.019871483,-0.012288505,0.029515468,0.039623596,-0.005753812906878985,1,-0.005753812906878985,0.956250192953308,1.0554557948261973
2025-01-08,ABBV_price,2025-01-10,0.017272908,-0.012471371,-0.0060527488,0.018540075,0.030132977,-0.018831675678367816,1,-0.018831675678367816,0.9384108985511095,1.0357657735418508
2025-01-10,ABBV_price,2025-01-13,0.020262895,-0.022619115,-0.004035676,0.04856866,0.053562276,0.00892289400173006,1,0.00892289400173006,0.94682170810574,1.0450491574815681
2025-01-13,ABBV_price,2025-01-14,0.006224603,-0.017439589,-0.013135672,0.031870138,0.02817653,-0.006755856092323546,1,-0.006755856092323546,0.9404466755491585,1.0380127510017234
2025-01-14,ABBV_price,2025-01-15,-0.012592709,-0.03122855,-0.027524348,0.006147897,0.018919408,-0.014829702081057872,-1,0.014829702081057872,0.9544971442054232,1.022732908928551
2025-01-15,ABBV_price,2025-01-16,0.018389031,-0.011600974,-0.003443731,0.012998025,0.013578617,0.013621348095868353,1,0.013621348095868353,0.9675876347258183,1.0367592216634838
2025-01-16,ABBV_price,2025-01-17,0.0058497153,-0.042910725,-0.030786332,0.034729935,0.037685845,-0.012396524160633957,1,-0.012396524160633957,0.9556669514114469,1.0239863441367814
2025-01-17,ABBV_price,2025-01-21,0.015667122,-0.023242682,0.0038932227,0.030356852,0.051875487,0.006101717325635695,1,0.006101717325635695,0.961515987441565,1.0302535201779315
2025-01-21,ABBV_price,2025-01-22,-0.004135969,-0.01578322,-0.019337457,0.0154182995,0.025968201,-0.01995342889871976,-1,0.01995342889871976,0.9808942164574028,1.009900164715724
2025-01-22,ABBV_price,2025-01-23,0.01291427,-0.016617194,0.0072149206,0.015114933,0.007093342,0.008650417309464906,1,0.008650417309464906,0.9894161668385467,1.018674117043325
2025-01-23,ABBV_price,2025-01-24,-0.022863299,-0.048276987,-0.034861825,-0.001831904,0.015377261,-0.0021701612206464446,-1,0.0021701612206464446,0.9915656909982711,1.0164658270174103
2025-01-24,ABBV_price,2025-01-27,0.0045849252,-0.030061662,-0.010769387,0.024010815,0.02615965,0.03802296366095127,1,0.03802296366095127,1.0299939048498954,1.0558590477874514
2025-01-27,ABBV_price,2025-01-28,-0.007400263,-0.055294752,-0.04267592,0.013939487,0.04133361,-0.011884973105173578,-1,0.011884973105173578,1.0423083884064201,1.0433844682612656
2025-01-28,ABBV_price,2025-01-29,-0.00035144016,-0.025051473,-0.021838898,0.019512739,0.033823766,0.002571006684677475,-1,-0.002571006684677475,1.0396320484904729,1.0460704680860513
2025-01-29,ABBV_price,2025-01-30,-0.013310885,-0.032052007,-0.031334933,0.0039903,0.025226364,0.002222751757398572,-1,-0.002222751757398572,1.0373237708421037,1.0483982090941861
2025-01-30,ABBV_price,2025-01-31,0.0011328956,-0.036547024,-0.01535644,0.024426375,0.02598187,0.04589882349578648,1,0.04589882349578648,1.0860452885014773,1.0976398762517519
2025-01-31,ABBV_price,2025-02-03,-0.021288693,-0.057069466,-0.056537867,-0.00032945722,0.039155383,0.033368480119121205,-1,-0.033368480119121205,1.050403569933203,1.134884391291974
2025-02-03,ABBV_price,2025-02-04,-0.0020068958,-0.042149182,-0.024609279,0.026356872,0.05521983,-0.000999789387310938,-1,0.000999789387310938,1.051454277430396,1.1337503129359545
2025-02-04,ABBV_price,2025-02-05,0.0030175736,-0.03716443,-0.02030167,0.024586705,0.037818164,0.009431645544215992,1,0.009431645544215992,1.0614181354074979,1.1444940298450679
2025-02-05,ABBV_price,2025-02-06,0.0045415414,-0.034176763,-0.012422016,0.021869458,0.039102413,0.0063422284189014674,1,0.0063422284189014674,1.0681712840393407,1.151775739130008
2025-02-06,ABBV_price,2025-02-07,-0.012961183,-0.04212194,-0.03574422,0.0034892194,0.02661375,-0.01235766027203543,-1,0.01235766027203543,1.081453280051073,1.1376300695428647
2025-02-07,ABBV_price,2025-02-10,-0.0012048827,-0.03506336,-0.011699034,-0.0029554311,0.0071955333,-0.0013651847603379417,-1,0.0013651847603379417,1.0829306718149219,1.1360780539440891
2025-02-10,ABBV_price,2025-02-11,-6.1531784e-05,-0.031443074,-0.00652728,0.021405267,0.034307994,0.0077976811365694865,-1,-0.0077976811365694865,1.074519161501709,1.1449714572539103
2025-02-11,ABBV_price,2025-02-12,-0.004994108,-0.028713323,-0.016828842,0.016306803,0.025481828,0.006080512930707051,-1,-0.006080512930707051,1.0680053575498476,1.151954680278314
2025-02-12,ABBV_price,2025-02-13,-0.0058366787,-0.026757825,-0.020932082,0.0144534735,0.02270976,0.0023290561539679798,-1,-0.0023290561539679798,1.0655208075507285,1.1546407742331095
2025-02-13,ABBV_price,2025-02-14,-0.014597426,-0.029921133,-0.014086996,0.001067735,0.014172479,-0.003002845768531319,-1,0.003002845768531319,1.0687252109557033,1.151178766608936
2025-02-14,ABBV_price,2025-02-18,-0.0041497415,-0.032123085,-0.020910922,0.002954903,0.025375377,0.017373052825807842,-1,-0.017373052825807842,1.0503185443655667,1.171352992662818
2025-02-18,ABBV_price,2025-02-19,0.0040895455,-0.028239919,-0.010602634,0.021987345,0.034684323,0.005589384835256784,1,0.005589384835256784,1.0562056161378746,1.177918466704485
2025-02-19,ABBV_price,2025-02-20,-0.0012636287,-0.026910942,-0.020437367,0.032278117,0.046879966,0.017729046026851342,-1,-0.017729046026851342,1.0376451143085845,1.1989880574099654
2025-02-20,ABBV_price,2025-02-21,-0.0017571878,-0.014775248,-0.02115258,0.0419252,0.038082108,0.005955814895492581,-1,-0.005955814895492581,1.0314834591330917,1.2061503157126852
2025-02-21,ABBV_price,2025-02-24,-0.009435771,-0.024725242,-0.012184922,0.00992001,0.013951708,0.00984843566722318,-1,-0.00984843566722318,1.0213748194919763,1.2180876952739137
2025-02-24,ABBV_price,2025-02-25,0.00252455,-0.026968278,-0.008664279,0.019539397,0.02983123,0.00029391803143730025,1,0.00029391803143730025,1.02167506408977,1.2184457658305454
