cutoff,unique_id,ds,PatchTST-median,PatchTST-lo-95,PatchTST-lo-80,PatchTST-hi-80,PatchTST-hi-95,y,signal,strat_ret,cum_strat,cum_market
2024-12-20,UNH_price,2025-01-03,-0.016600596,-0.02939822,-0.027012566,0.00011920929,0.019793283,0.016688255805879005,-1,-0.016688255805879005,0.9834502217486815,1.0168282825966435
2024-12-23,UNH_price,2025-01-03,-0.0064431597,-0.026644923,-0.01819544,-0.00374824,0.015957091,0.016688255805879005,-1,-0.016688255805879005,0.9671743386575308,1.0339397562884394
2024-12-24,UNH_price,2025-01-03,-0.009668435,-0.033847302,-0.021081591,-0.0040074503,0.0056554843,0.016688255805879005,-1,-0.016688255805879005,0.951167817822383,1.051339186695166
2024-12-26,UNH_price,2025-01-03,-0.017539944,-0.042500556,-0.033155497,-0.0061519193,0.012239843,0.016688255805879005,-1,-0.016688255805879005,0.9354262013576321,1.0690314196337976
2024-12-27,UNH_price,2025-01-03,-0.008193051,-0.038838077,-0.019353677,0.0020236394,0.014648118,0.016688255805879005,-1,-0.016688255805879005,0.91994510515469,1.087021382468086
2024-12-30,UNH_price,2025-01-03,-0.016179712,-0.04417306,-0.035792183,0.0018411963,0.008660736,0.016688255805879005,-1,-0.016688255805879005,0.904720217660994,1.1053140854808532
2024-12-31,UNH_price,2025-01-03,-0.01085734,-0.029448418,-0.017131576,0.0007696361,0.010493193,0.016688255805879005,-1,-0.016688255805879005,0.88974729867922,1.1239146232693755
2025-01-03,UNH_price,2025-01-06,-0.02154704,-0.057353407,-0.052738458,-0.0023889095,0.00037398934,0.001305136737595193,-1,-0.001305136737595193,0.8885868142526958,1.125382443178614
2025-01-06,UNH_price,2025-01-07,-0.0039000236,-0.051211394,-0.031118464,0.01918461,0.03407238,0.0011285140292690268,-1,-0.0011285140292690268,0.887584597180965,1.1266531699356597
2025-01-07,UNH_price,2025-01-08,0.008738664,-0.008991473,0.0006846937,0.006032273,0.013949853,0.019774149742190994,1,0.019774149742190994,0.9053105077286302,1.149153507787344
2025-01-08,UNH_price,2025-01-10,0.0168369,-0.015898984,-0.00552983,0.026982842,0.032862417,-0.0073288805629491095,1,-0.0073288805629491095,0.8986998490984275,1.1407622856720263
2025-01-10,UNH_price,2025-01-13,-0.006166235,-0.028849218,-0.02176696,0.0054880814,0.015285712,0.03852318702839999,-1,-0.03852318702839999,0.8647374369234284,1.185565525690786
2025-01-13,UNH_price,2025-01-14,-0.015182134,-0.0567043,-0.029561568,0.021885311,0.049121283,0.00479321726739358,-1,-0.00479321726739358,0.8606024802984452,1.1912618397696237
2025-01-14,UNH_price,2025-01-15,-0.008596904,-0.026402257,-0.014796797,-0.00224227,0.0114728045,-0.0005888200299899847,-1,0.0005888200299899847,0.8611093694953148,1.190560607407495
2025-01-15,UNH_price,2025-01-16,0.012435006,-0.037443258,-0.02372854,0.042762063,0.05583745,-0.06231543976419627,1,-0.06231543976419627,0.8090867016685179,1.1186346230889996
2025-01-16,UNH_price,2025-01-17,0.0017053597,-0.062997445,-0.028072763,0.042926606,0.07560885,-0.0016269080788426913,1,-0.0016269080788426913,0.8077714621540864,1.116816186998697
2025-01-17,UNH_price,2025-01-21,-0.02384,-0.050083954,-0.037774652,0.001409784,0.028626239,0.02943913332550554,-1,-0.02943913332550554,0.7843379932752487,1.1501830232170107
2025-01-21,UNH_price,2025-01-22,0.005121298,-0.037484247,-0.03029196,0.05575239,0.062199138,-0.010089079173224179,1,-0.010089079173224179,0.7764645299461975,1.1386370775499133
2025-01-22,UNH_price,2025-01-23,-0.007557192,-0.064029515,-0.040833812,0.032440037,0.04696753,0.01915290668925044,-1,-0.01915290668925044,0.7617344890926516,1.1606554722922213
2025-01-23,UNH_price,2025-01-24,-0.021292798,-0.045242656,-0.033377994,0.0074867234,0.029920418,0.005158587130123168,-1,-0.005158587130123168,0.7578151332215263,1.1666582843769366
2025-01-24,UNH_price,2025-01-27,0.0007129931,-0.04117267,-0.035789415,0.031920403,0.035295967,0.020464800229547442,1,0.020464800229547442,0.7734834461500275,1.190779691140798
2025-01-27,UNH_price,2025-01-28,-0.004574597,-0.034218937,-0.027444355,0.013773237,0.020127524,-0.001915191455785481,-1,0.001915191455785481,0.7749662344958371,1.1885013025222293
2025-01-28,UNH_price,2025-01-29,0.0019300441,-0.025351765,-0.014463385,0.00681543,0.012071508,-0.008106902414122605,1,-0.008106902414122605,0.7687090562944875,1.1789051883802297
2025-01-29,UNH_price,2025-01-30,0.0016919449,-0.028368926,-0.014883054,0.03142065,0.044817947,0.013786716645989391,1,0.013786716645989391,0.7793804227614999,1.1952709761799876
2025-01-30,UNH_price,2025-01-31,0.020724917,-0.018414503,-0.0040733404,0.054707713,0.08336791,-0.005661369260536056,1,-0.005661369260536056,0.7749805288576438,1.1885232245968564
2025-01-31,UNH_price,2025-02-03,-0.0029385793,-0.015838627,-0.012058819,0.013608458,0.029380716,0.010434126177230382,-1,-0.010434126177230382,0.7669363243386956,1.2009893493464185
