number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,state
49,0.6349206349206349,2026-02-20 10:49:59.978657,2026-02-20 10:50:10.986290,0 days 00:00:11.007633,0.05309974610404195,1,32,100,0.0001575220910708586,64,8,16,8,PRUNED
33,0.6349206349206349,2026-02-20 10:46:02.372376,2026-02-20 10:46:13.803441,0 days 00:00:11.431065,0.10656294015945768,1,32,90,0.00018926627537288324,256,8,16,8,PRUNED
37,0.6349206349206349,2026-02-20 10:46:48.390291,2026-02-20 10:47:02.521404,0 days 00:00:14.131113,0.08793713279290374,2,32,100,0.00012148158859758292,256,8,16,8,PRUNED
36,0.6349206349206349,2026-02-20 10:46:36.755488,2026-02-20 10:46:48.388950,0 days 00:00:11.633462,0.13199498698211762,1,32,80,0.00019828732101170263,256,8,4,8,PRUNED
42,0.6349206349206349,2026-02-20 10:48:01.381900,2026-02-20 10:48:12.684337,0 days 00:00:11.302437,0.11677663676449153,1,32,90,0.0001797663175353077,256,8,16,8,PRUNED
16,0.6190476190476191,2026-02-20 10:40:58.683604,2026-02-20 10:41:09.722567,0 days 00:00:11.038963,0.1998144250007552,1,32,120,0.0003870104551842949,128,8,8,8,PRUNED
14,0.6190476190476191,2026-02-20 10:40:29.692702,2026-02-20 10:40:43.306989,0 days 00:00:13.614287,0.22063095178286996,2,32,40,0.00021783560972356275,128,8,4,8,PRUNED
28,0.6031746031746031,2026-02-20 10:44:41.188394,2026-02-20 10:44:52.483786,0 days 00:00:11.295392,0.1467957337412629,1,32,120,0.0001725991941882815,256,8,16,4,PRUNED
34,0.6031746031746031,2026-02-20 10:46:13.804722,2026-02-20 10:46:25.526145,0 days 00:00:11.721423,0.16480838861608588,1,32,110,0.00011723156292862456,256,8,16,8,PRUNED
23,0.5912698412698412,2026-02-20 10:42:59.996632,2026-02-20 10:43:22.393040,0 days 00:00:22.396408,0.1029114858860248,1,32,100,0.00017560914552388222,256,8,16,8,COMPLETE
18,0.5873015873015873,2026-02-20 10:41:23.051236,2026-02-20 10:41:34.153623,0 days 00:00:11.102387,0.2451925501891624,1,128,90,0.0003365104296925841,128,4,8,4,PRUNED
24,0.5873015873015872,2026-02-20 10:43:22.394541,2026-02-20 10:43:45.694943,0 days 00:00:23.300402,0.09994076223211851,1,32,100,0.00016830245219193676,256,8,16,8,COMPLETE
43,0.5873015873015872,2026-02-20 10:48:12.685617,2026-02-20 10:48:34.890834,0 days 00:00:22.205217,0.07386819306977285,1,32,100,0.00014684520556276567,256,8,16,8,COMPLETE
41,0.5793650793650793,2026-02-20 10:47:38.947735,2026-02-20 10:48:01.380521,0 days 00:00:22.432786,0.11484018096046862,1,32,100,0.00014949085044597914,256,8,16,8,COMPLETE
21,0.5793650793650793,2026-02-20 10:42:15.208705,2026-02-20 10:42:37.673105,0 days 00:00:22.464400,0.1508860315098438,1,32,90,0.00015012633240023098,256,8,16,8,COMPLETE
22,0.5793650793650793,2026-02-20 10:42:37.674494,2026-02-20 10:42:59.995192,0 days 00:00:22.320698,0.11607378782992003,1,32,100,0.00016061950594792467,256,8,16,8,COMPLETE
32,0.5753968253968254,2026-02-20 10:45:39.098906,2026-02-20 10:46:02.371003,0 days 00:00:23.272097,0.11366744805461389,1,32,100,0.00015040944944919737,256,8,16,8,COMPLETE
31,0.5714285714285714,2026-02-20 10:45:16.336377,2026-02-20 10:45:39.097546,0 days 00:00:22.761169,0.12408427862357246,1,32,100,0.00015897236574460497,256,8,16,8,COMPLETE
45,0.5714285714285714,2026-02-20 10:48:57.538313,2026-02-20 10:49:08.870248,0 days 00:00:11.331935,0.13759832119656173,1,32,110,0.0001330281387121289,256,8,16,8,PRUNED
40,0.5714285714285714,2026-02-20 10:47:27.346517,2026-02-20 10:47:38.946425,0 days 00:00:11.599908,0.049539846303774566,1,32,110,0.00016517059660031577,256,8,16,4,PRUNED
27,0.5714285714285714,2026-02-20 10:44:19.011402,2026-02-20 10:44:41.187764,0 days 00:00:22.176362,0.0999231117451789,1,32,80,0.00010268539885603277,256,8,16,8,COMPLETE
44,0.5674603174603174,2026-02-20 10:48:34.892236,2026-02-20 10:48:57.536954,0 days 00:00:22.644718,0.0675737921608975,1,32,100,0.00011222040192871082,256,8,16,8,COMPLETE
1,0.5595238095238095,2026-02-20 10:35:57.610861,2026-02-20 10:36:29.164936,0 days 00:00:31.554075,0.2090183861191628,3,32,110,0.0005839345456291336,128,8,16,8,COMPLETE
8,0.5595238095238095,2026-02-20 10:38:46.387351,2026-02-20 10:39:08.696494,0 days 00:00:22.309143,0.16687080793704975,1,32,90,0.00012702244438361087,256,8,16,8,COMPLETE
5,0.5595238095238095,2026-02-20 10:37:54.627811,2026-02-20 10:38:18.043208,0 days 00:00:23.415397,0.26426916326792854,1,128,70,0.00014216594880780306,64,4,8,8,COMPLETE
0,0.5555555555555556,2026-02-20 10:35:34.107505,2026-02-20 10:35:57.609364,0 days 00:00:23.501859,0.13171492615363853,1,64,110,0.00030911934306174704,64,4,16,2,COMPLETE
25,0.5476190476190477,2026-02-20 10:43:45.696314,2026-02-20 10:44:07.828832,0 days 00:00:22.132518,0.09431149816410951,1,32,90,0.00019395979667526496,256,8,16,8,COMPLETE
46,0.5436507936507937,2026-02-20 10:49:08.871485,2026-02-20 10:49:36.436031,0 days 00:00:27.564546,0.15389106620913443,2,32,80,0.00020844701641404805,256,4,16,8,COMPLETE
29,0.5396825396825397,2026-02-20 10:44:52.485056,2026-02-20 10:45:03.835290,0 days 00:00:11.350234,0.14287410183649954,1,64,110,0.00013105621051598442,256,8,16,2,PRUNED
17,0.5396825396825397,2026-02-20 10:41:09.723898,2026-02-20 10:41:23.049929,0 days 00:00:13.326031,0.1264822012519355,2,128,70,0.00016966405490998076,64,8,16,8,PRUNED
38,0.5396825396825397,2026-02-20 10:47:02.522680,2026-02-20 10:47:16.345659,0 days 00:00:13.822979,0.039098818398244944,2,32,110,0.0002617746544195993,256,2,16,8,PRUNED
4,0.5357142857142857,2026-02-20 10:37:27.438135,2026-02-20 10:37:54.626994,0 days 00:00:27.188859,0.07915115516759105,2,32,80,0.00011365384861480297,128,4,16,4,COMPLETE
3,0.5317460317460317,2026-02-20 10:37:00.644947,2026-02-20 10:37:27.436720,0 days 00:00:26.791773,0.059390589387834425,2,64,110,0.00019128825655902363,64,4,8,8,COMPLETE
20,0.5277777777777778,2026-02-20 10:41:50.380202,2026-02-20 10:42:15.207605,0 days 00:00:24.827403,0.2630975021358689,2,128,60,0.00023822414073405217,128,4,16,8,COMPLETE
7,0.5238095238095238,2026-02-20 10:38:29.537612,2026-02-20 10:38:46.385974,0 days 00:00:16.848362,0.06487513244954385,3,32,80,0.00014058305638685897,128,8,8,2,PRUNED
48,0.5238095238095238,2026-02-20 10:49:48.992329,2026-02-20 10:49:59.977361,0 days 00:00:10.985032,0.071869508973212,1,64,90,0.00010266854956189191,256,2,4,8,PRUNED
10,0.5238095238095238,2026-02-20 10:39:22.656287,2026-02-20 10:39:38.812440,0 days 00:00:16.156153,0.2676475688654263,3,32,120,0.0006375659581446184,128,2,16,2,PRUNED
13,0.5198412698412699,2026-02-20 10:40:07.836844,2026-02-20 10:40:29.691547,0 days 00:00:21.854703,0.22845141186767354,1,128,70,0.00044989316116976545,64,8,8,8,COMPLETE
15,0.5079365079365079,2026-02-20 10:40:43.308320,2026-02-20 10:40:58.682339,0 days 00:00:15.374019,0.29984400265812244,3,128,90,0.0009139238960077004,64,2,16,4,PRUNED
9,0.5079365079365079,2026-02-20 10:39:08.697950,2026-02-20 10:39:22.654983,0 days 00:00:13.957033,0.06759581233361592,2,64,30,0.000996351175569827,64,4,16,4,PRUNED
26,0.5079365079365079,2026-02-20 10:44:07.830355,2026-02-20 10:44:19.010120,0 days 00:00:11.179765,0.006033742561165942,1,32,100,0.0002736666962947197,256,8,16,8,PRUNED
39,0.5079365079365079,2026-02-20 10:47:16.346951,2026-02-20 10:47:27.345212,0 days 00:00:10.998261,0.182527801134506,1,64,90,0.00014037330084307328,256,8,4,8,PRUNED
2,0.49603174603174605,2026-02-20 10:36:29.166558,2026-02-20 10:37:00.643417,0 days 00:00:31.476859,0.16472308575787972,3,64,100,0.00010827787585747301,256,4,4,8,COMPLETE
35,0.47619047619047616,2026-02-20 10:46:25.527458,2026-02-20 10:46:36.754209,0 days 00:00:11.226751,0.08154465193450383,1,64,100,0.00031172896088323403,256,8,16,8,PRUNED
6,0.4603174603174603,2026-02-20 10:38:18.044731,2026-02-20 10:38:29.536263,0 days 00:00:11.491532,0.02656829190465747,1,128,50,0.000263916119217491,256,4,4,8,PRUNED
47,0.4603174603174603,2026-02-20 10:49:36.437354,2026-02-20 10:49:48.991042,0 days 00:00:12.553688,0.08333290215558727,1,32,120,0.00023587128778909647,256,8,16,2,PRUNED
11,0.4444444444444444,2026-02-20 10:39:38.813703,2026-02-20 10:39:52.304444,0 days 00:00:13.490741,0.2757387908251673,2,128,60,0.0005712807564629968,64,8,8,8,PRUNED
12,0.4444444444444444,2026-02-20 10:39:52.305970,2026-02-20 10:40:07.835515,0 days 00:00:15.529545,0.2189358583994997,3,128,60,0.00048348151161807783,128,2,8,8,PRUNED
30,0.4444444444444444,2026-02-20 10:45:03.836491,2026-02-20 10:45:16.335100,0 days 00:00:12.498609,0.03364727877977061,1,32,110,0.00021976012932091037,256,8,16,2,PRUNED
19,0.36507936507936506,2026-02-20 10:41:34.154906,2026-02-20 10:41:50.378757,0 days 00:00:16.223851,0.1820190688773766,3,32,100,0.0007332746802845073,256,2,4,2,PRUNED
