number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,state
41,0.6190476190476191,2026-02-21 00:47:07.239243,2026-02-21 00:47:40.801229,0 days 00:00:33.561986,0.21240167108793725,3,64,50,0.00010945656474552406,512,4,8,4,COMPLETE
22,0.6190476190476191,2026-02-21 00:34:43.012051,2026-02-21 00:35:22.346435,0 days 00:00:39.334384,0.22478073037266735,4,64,100,0.0001166273058238014,512,2,16,4,COMPLETE
40,0.6071428571428572,2026-02-21 00:46:33.238013,2026-02-21 00:47:07.237699,0 days 00:00:33.999686,0.20370649805638966,3,64,50,0.00011046857171972656,512,4,8,4,COMPLETE
35,0.6071428571428572,2026-02-21 00:43:23.406384,2026-02-21 00:43:57.227010,0 days 00:00:33.820626,0.2393892581469278,3,64,50,0.0001376758955326646,512,4,8,4,COMPLETE
43,0.6071428571428572,2026-02-21 00:48:14.412243,2026-02-21 00:48:48.504227,0 days 00:00:34.091984,0.1600143472731065,3,64,50,0.00011330173365208986,512,4,8,4,COMPLETE
42,0.6071428571428572,2026-02-21 00:47:40.802783,2026-02-21 00:48:14.410675,0 days 00:00:33.607892,0.1864978463899586,3,64,50,0.00011048225473763174,512,4,8,4,COMPLETE
46,0.6071428571428572,2026-02-21 00:49:49.601841,2026-02-21 00:50:23.695640,0 days 00:00:34.093799,0.22845845711955912,3,64,50,0.00014731196998500046,512,4,8,4,COMPLETE
21,0.6071428571428571,2026-02-21 00:34:03.983304,2026-02-21 00:34:43.010454,0 days 00:00:39.027150,0.2067823546920037,4,64,90,0.00010434020521504742,512,2,16,4,COMPLETE
34,0.6071428571428571,2026-02-21 00:42:50.190704,2026-02-21 00:43:23.404818,0 days 00:00:33.214114,0.21713668951519557,3,64,90,0.00011483494076300067,512,2,16,4,COMPLETE
33,0.6071428571428571,2026-02-21 00:42:16.293255,2026-02-21 00:42:50.189142,0 days 00:00:33.895887,0.2806006380749398,3,64,90,0.00011687811695787078,512,2,4,4,COMPLETE
27,0.6071428571428571,2026-02-21 00:38:07.991525,2026-02-21 00:38:46.748518,0 days 00:00:38.756993,0.26048616139183983,4,64,100,0.00022828512460481112,512,2,16,4,COMPLETE
11,0.5952380952380952,2026-02-21 00:30:03.310757,2026-02-21 00:30:27.783974,0 days 00:00:24.473217,0.2990208637338368,1,64,100,0.00022170049349561928,32,2,4,4,COMPLETE
17,0.5952380952380952,2026-02-21 00:32:23.148936,2026-02-21 00:33:02.715188,0 days 00:00:39.566252,0.20204342238618916,4,64,90,0.0001008906422604354,512,2,16,4,COMPLETE
45,0.5952380952380952,2026-02-21 00:49:21.486168,2026-02-21 00:49:49.600310,0 days 00:00:28.114142,0.18947253738098296,2,64,60,0.00011064757494879921,64,4,8,4,COMPLETE
38,0.5952380952380952,2026-02-21 00:45:20.491612,2026-02-21 00:45:54.758051,0 days 00:00:34.266439,0.24951627233036705,3,64,70,0.00013988714055419152,64,4,8,8,COMPLETE
13,0.5952380952380952,2026-02-21 00:30:56.212017,2026-02-21 00:31:21.062665,0 days 00:00:24.850648,0.29619019203192026,1,64,90,0.00010147538685290275,32,2,16,4,COMPLETE
36,0.5833333333333334,2026-02-21 00:43:57.228527,2026-02-21 00:44:36.728880,0 days 00:00:39.500353,0.1484455223869774,4,64,50,0.00013309246117711857,512,4,8,4,COMPLETE
24,0.5833333333333333,2026-02-21 00:36:01.460981,2026-02-21 00:36:41.169878,0 days 00:00:39.708897,0.22224306215682793,4,64,100,0.00014900270095341046,512,2,16,4,COMPLETE
44,0.5833333333333333,2026-02-21 00:48:48.506279,2026-02-21 00:49:21.484380,0 days 00:00:32.978101,0.18449032189365697,3,128,40,0.0001310840806402287,256,4,8,8,COMPLETE
29,0.5833333333333333,2026-02-21 00:39:28.447516,2026-02-21 00:40:14.302227,0 days 00:00:45.854711,0.21100950620289582,5,32,110,0.00012380497413869368,512,8,16,4,COMPLETE
39,0.5714285714285714,2026-02-21 00:45:54.759625,2026-02-21 00:46:33.236425,0 days 00:00:38.476800,0.11647554138993836,4,32,40,0.00019274505986914003,128,4,8,2,COMPLETE
23,0.5595238095238095,2026-02-21 00:35:22.347999,2026-02-21 00:36:01.459443,0 days 00:00:39.111444,0.1631081415085768,4,64,110,0.00013061408019519015,512,2,16,4,COMPLETE
47,0.5595238095238095,2026-02-21 00:50:23.697152,2026-02-21 00:50:57.148946,0 days 00:00:33.451794,0.17330503065047428,3,64,40,0.0001255559118271159,512,4,8,4,COMPLETE
12,0.5595238095238095,2026-02-21 00:30:27.785496,2026-02-21 00:30:56.210383,0 days 00:00:28.424887,0.2738997312044285,2,128,100,0.00016054270711049004,256,2,4,4,COMPLETE
2,0.5595238095238095,2026-02-21 00:25:22.507824,2026-02-21 00:25:50.358356,0 days 00:00:27.850532,0.013609625027430272,2,128,60,0.00012692480433019782,256,2,16,4,COMPLETE
31,0.5595238095238095,2026-02-21 00:40:54.302491,2026-02-21 00:41:37.065296,0 days 00:00:42.762805,0.27725799532734896,5,64,100,0.00022946511508099358,512,2,4,4,COMPLETE
32,0.5476190476190477,2026-02-21 00:41:37.066262,2026-02-21 00:42:16.291646,0 days 00:00:39.225384,0.2470637992699741,4,64,100,0.0002727144900342804,128,2,16,4,COMPLETE
37,0.5476190476190477,2026-02-21 00:44:36.730470,2026-02-21 00:45:20.489997,0 days 00:00:43.759527,0.23509459928356177,5,128,50,0.00016638334147111208,512,4,8,4,COMPLETE
1,0.5476190476190476,2026-02-21 00:24:58.098638,2026-02-21 00:25:22.506160,0 days 00:00:24.407522,0.24192823831045035,1,64,60,0.0002784505182650596,32,4,4,4,COMPLETE
25,0.5476190476190476,2026-02-21 00:36:41.171495,2026-02-21 00:37:29.045050,0 days 00:00:47.873555,0.17676535112956676,5,32,110,0.00011841050342481004,512,8,4,4,COMPLETE
3,0.5357142857142856,2026-02-21 00:25:50.360005,2026-02-21 00:26:14.942859,0 days 00:00:24.582854,0.1360061603782417,1,32,60,0.0002557555580832963,64,4,16,2,COMPLETE
9,0.5238095238095238,2026-02-21 00:29:06.158678,2026-02-21 00:29:34.736316,0 days 00:00:28.577638,0.19272151852296374,2,128,30,0.0004594404459937594,64,4,16,2,COMPLETE
0,0.5238095238095238,2026-02-21 00:24:15.127306,2026-02-21 00:24:58.096839,0 days 00:00:42.969533,0.05293843405740567,5,128,40,0.0001273667937043785,32,4,4,8,COMPLETE
5,0.5238095238095238,2026-02-21 00:26:53.958166,2026-02-21 00:27:27.247013,0 days 00:00:33.288847,0.12173705792681813,3,64,30,0.000712451871277095,256,2,16,8,COMPLETE
14,0.5238095238095238,2026-02-21 00:31:21.064147,2026-02-21 00:31:46.311121,0 days 00:00:25.246974,0.29784139108201285,1,64,90,0.00038415127088643747,32,2,8,4,COMPLETE
7,0.5238095238095237,2026-02-21 00:27:59.706034,2026-02-21 00:28:32.830072,0 days 00:00:33.124038,0.2312880850491365,3,128,60,0.00010092326704973008,128,8,4,8,COMPLETE
10,0.511904761904762,2026-02-21 00:29:34.738291,2026-02-21 00:30:03.309081,0 days 00:00:28.570790,0.023478566274575063,2,32,110,0.0009381395943449354,256,2,16,4,COMPLETE
