number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,state
24,0.625,2026-02-21 03:41:47.083240,2026-02-21 03:42:32.700292,0 days 00:00:45.617052,0.17354558723453617,4,64,110,0.00033866662894306283,128,4,8,2,COMPLETE
19,0.625,2026-02-21 03:37:15.300687,2026-02-21 03:38:21.762621,0 days 00:01:06.461934,0.06754589926422576,5,128,90,0.0003982417023021224,64,8,16,2,COMPLETE
30,0.625,2026-02-21 03:46:29.064573,2026-02-21 03:47:23.470367,0 days 00:00:54.405794,0.07877935240660214,4,64,130,0.0007803730258571515,128,4,8,2,COMPLETE
31,0.5416666666666666,2026-02-21 03:47:23.470685,2026-02-21 03:48:17.347199,0 days 00:00:53.876514,0.07901334801122613,4,64,130,0.0008543989856860982,128,4,8,2,COMPLETE
8,0.5,2026-02-21 03:31:19.142381,2026-02-21 03:31:47.580156,0 days 00:00:28.437775,0.103589113794039,2,32,30,0.00028477003369342354,256,2,4,8,COMPLETE
6,0.5,2026-02-21 03:30:02.622661,2026-02-21 03:30:45.330191,0 days 00:00:42.707530,0.19835966131319094,5,64,50,0.00027888466417306086,64,4,8,4,COMPLETE
2,0.5,2026-02-21 03:27:27.641017,2026-02-21 03:28:11.573295,0 days 00:00:43.932278,0.03497687308057116,5,32,130,0.00014162947933669888,32,8,8,4,COMPLETE
9,0.5,2026-02-21 03:31:47.580427,2026-02-21 03:32:21.733685,0 days 00:00:34.153258,0.04885793254540166,3,32,100,0.00017014384425975885,256,4,8,4,COMPLETE
12,0.5,2026-02-21 03:33:25.482569,2026-02-21 03:33:49.473651,0 days 00:00:23.991082,0.27341331853573564,1,64,120,0.0001656827498088981,128,4,4,8,COMPLETE
13,0.5,2026-02-21 03:33:49.473936,2026-02-21 03:34:27.908596,0 days 00:00:38.434660,0.23270180193846546,4,64,80,0.0004301936485063432,32,4,4,4,COMPLETE
16,0.5,2026-02-21 03:35:42.928860,2026-02-21 03:36:06.719503,0 days 00:00:23.790643,0.10329653432449225,1,64,60,0.00013797777566977332,128,4,4,4,COMPLETE
17,0.5,2026-02-21 03:36:06.719801,2026-02-21 03:36:35.552352,0 days 00:00:28.832551,0.1803243786616352,2,64,120,0.0002054792177879845,512,4,8,8,COMPLETE
29,0.5,2026-02-21 03:45:54.300950,2026-02-21 03:46:29.064308,0 days 00:00:34.763358,0.03684352118302514,3,64,80,0.0005156960938174116,128,8,16,8,COMPLETE
28,0.5,2026-02-21 03:45:09.009968,2026-02-21 03:45:54.300588,0 days 00:00:45.290620,0.16640384041551323,5,32,70,0.0003071024157970488,512,2,8,2,COMPLETE
14,0.5,2026-02-21 03:34:27.908858,2026-02-21 03:35:02.795213,0 days 00:00:34.886355,0.1479963700318024,2,64,140,0.0009142407408525217,128,4,16,2,COMPLETE
15,0.5,2026-02-21 03:35:02.795468,2026-02-21 03:35:42.928558,0 days 00:00:40.133090,0.23300390979727337,4,64,90,0.00020444463345454134,512,4,8,8,COMPLETE
0,0.5,2026-02-21 03:26:19.899184,2026-02-21 03:27:03.531580,0 days 00:00:43.632396,0.02642126684428876,5,64,100,0.00022558088562663083,512,4,8,8,COMPLETE
1,0.5,2026-02-21 03:27:03.532008,2026-02-21 03:27:27.640672,0 days 00:00:24.108664,0.26507245520842265,1,64,140,0.00010674307251494738,128,4,4,4,COMPLETE
48,0.5,2026-02-21 04:01:23.980527,2026-02-21 04:02:03.958279,0 days 00:00:39.977752,0.07250717581856553,4,64,110,0.0003945898611913418,128,4,8,4,COMPLETE
42,0.5,2026-02-21 03:56:38.171253,2026-02-21 03:57:21.748470,0 days 00:00:43.577217,0.1968658413008388,5,64,90,0.0003183528927443321,64,4,8,8,COMPLETE
47,0.5,2026-02-21 04:00:40.830757,2026-02-21 04:01:23.980136,0 days 00:00:43.149379,0.03704590108640203,5,32,130,0.00027856514846428843,256,4,8,8,COMPLETE
46,0.5,2026-02-21 03:59:47.579803,2026-02-21 04:00:40.830430,0 days 00:00:53.250627,0.09344217120711688,3,64,120,0.0001715819041978515,512,4,16,2,COMPLETE
49,0.5,2026-02-21 04:02:03.958603,2026-02-21 04:02:48.720480,0 days 00:00:44.761877,0.10785262807784474,2,64,140,0.00033607828097059143,64,8,16,2,COMPLETE
40,0.5,2026-02-21 03:55:19.421461,2026-02-21 03:55:54.660654,0 days 00:00:35.239193,0.1556995274894175,3,32,100,0.0005082833608788731,256,4,8,2,COMPLETE
23,0.5,2026-02-21 03:41:03.337735,2026-02-21 03:41:47.082931,0 days 00:00:43.745196,0.116688002586038,5,128,60,0.00021206840073594534,32,8,16,2,COMPLETE
18,0.5,2026-02-21 03:36:35.552605,2026-02-21 03:37:15.300362,0 days 00:00:39.747757,0.251853698892378,4,64,120,0.00011917905674234383,256,2,4,4,COMPLETE
32,0.5,2026-02-21 03:48:17.347471,2026-02-21 03:49:11.384251,0 days 00:00:54.036780,0.08046437165145276,4,64,130,0.0009255395910776083,128,4,8,2,COMPLETE
33,0.5,2026-02-21 03:49:11.384589,2026-02-21 03:49:55.940086,0 days 00:00:44.555497,0.05910715110425312,3,64,130,0.0007364984123375862,128,4,8,2,COMPLETE
38,0.5,2026-02-21 03:52:45.690435,2026-02-21 03:53:51.204033,0 days 00:01:05.513598,0.07244700582649445,4,128,140,0.0009952979971918827,32,2,8,2,COMPLETE
37,0.5,2026-02-21 03:51:52.349031,2026-02-21 03:52:45.690079,0 days 00:00:53.341048,0.13935661067866065,5,64,110,0.0006707399213922922,128,4,8,2,COMPLETE
5,0.4583333333333333,2026-02-21 03:29:28.860186,2026-02-21 03:30:02.622321,0 days 00:00:33.762135,0.1377388533506097,3,128,30,0.0002467552262480629,64,2,16,2,COMPLETE
