date,pred_momentum,signal,in_market,trade_return,portfolio_value,position_return
2025-01-03,-0.0018672469692925613,-1,0,0.0,9995.0,0
2025-01-06,-0.0016368580982089043,-1,-1,0.0,10455.642865311976,0.04608733019629575
2025-01-07,0.004894230980426073,1,-1,0.0,10383.271776586524,0.03936628410118233
2025-01-08,0.0004601260491957267,1,0,0.0,10378.080140698232,0
2025-01-10,-0.008136968749264875,-2,1,0.0,10103.80784139363,-0.025941008791460822
2025-01-13,0.0014525405907382567,1,0,0.0,10098.755937472934,0
2025-01-14,0.0022132877299251654,1,1,0.0,10015.29522682689,-0.008264454667762735
2025-01-15,-0.001325963841130336,-1,1,0.0,10281.398767941979,0.018594973742430704
2025-01-16,-0.0015860328373188775,-1,0,0.0,10276.258068558009,0
2025-01-17,-0.0015402846038341522,-2,-1,0.0,10160.002683695311,-0.010818416733781235
2025-01-21,-0.0051920235467453795,-1,0,0.0,10154.922682353465,0
2025-01-22,-0.004603412856037418,-1,-1,0.0,10094.170228458212,-0.00598256193528918
2025-01-23,-0.009404933700958887,-1,-1,0.0,10229.694247649648,0.007363085631967901
2025-01-24,-0.005504300196965535,-1,-1,0.0,10575.512959981328,0.041417378623545546
2025-01-27,-0.00039705463374654454,-1,-1,0.0,10827.8667700191,0.06626777068771111
2025-01-28,-0.00016128023465474448,0,-1,0.0,11056.855691504445,0.08881731918238028
2025-01-29,0.003470911799619595,1,-1,0.0,11074.68136066854,0.09111825052678109
2025-01-30,0.004524250670025746,1,0,0.0,11069.144019988205,0
2025-01-31,0.0020427750423550606,-2,1,0.0,10694.822431383649,-0.033333336496432164
2025-02-03,-0.0010211163898929954,-1,0,0.0,10689.475020167958,0
2025-02-04,0.0008329041302204132,1,-1,0.0,10577.848061762445,-0.009947671741512124
2025-02-05,0.0035289116203784943,1,0,0.0,10572.559137731563,0
2025-02-06,0.0008723661303520203,1,1,0.0,10502.110959131242,-0.0066633042844759125
2025-02-07,-0.000986107625067234,-2,1,0.0,10345.203139629582,-0.02101485610467404
2025-02-10,-0.007078802213072777,-1,0,0.0,10340.030538059767,0
2025-02-11,-0.002269872153798739,-2,-1,0.0,9762.725126456113,-0.055359759821909126
2025-02-12,-0.008294297382235527,-1,0,0.0,9757.843763892884,0
2025-02-13,-0.007605466991662979,-2,-1,0.0,9202.11918137418,-0.05647981609284479
2025-02-14,-0.008015281055122614,-1,0,0.0,9197.518121783494,0
2025-02-18,-0.019448036948839825,-2,-1,0.0,8150.308163269826,-0.1134145920696942
2025-02-19,-0.01514675592382749,-1,0,0.0,8146.233009188191,0
2025-02-20,-0.0041451275659104185,-2,-1,0.0,7973.327716468186,-0.02073555155397054
2025-02-21,-0.009811557829380035,-1,0,0.0,7969.341052609952,0
2025-02-24,-0.0016632167001565297,-1,-1,0.0,8060.233347350342,0.011405245946981144
2025-02-25,-0.0025036223232746124,-1,-1,0.0,8475.743014823323,0.06354376840824565
2025-02-26,0.0051064932097991305,1,-1,0.0,8299.544064575528,0.04195514506338535
2025-02-27,-0.0019803879161675773,-1,0,0.0,8295.39429254324,0
2025-02-28,-0.00039141780386368435,-2,-1,0.0,8035.5221221212305,-0.030842705054473778
2025-03-03,-0.00029747529576222104,-1,0,0.0,8031.504361060171,0
2025-03-04,0.0031323209404945374,1,-1,0.0,8458.423337541839,0.05368238432447198
2025-03-05,0.0010425237317879994,1,0,0.0,8454.194125873068,0
2025-03-06,0.0032259232054154077,1,1,0.0,8658.663678679926,0.024185575793806764
2025-03-07,0.0019305338306973379,1,1,0.0,8612.76207436746,0.018756128157633983
2025-03-10,0.005731488578021526,-2,1,0.0,8312.331863789212,-0.016288248764954116
2025-03-11,0.0034701774517695108,1,0,0.0,8308.175697857318,0
2025-03-12,-0.0014293647060791652,-1,1,0.0,8260.084745879092,-0.005291034415944002
2025-03-13,-0.014305350681145986,-1,0,0.0,8255.954703506153,0
2025-03-14,0.0013088109747817118,-2,-1,0.0,8122.892307428571,-0.015624954692415873
2025-03-17,-0.006726658592621486,-1,0,0.0,8118.830861274858,0
2025-03-18,-0.0025707615228990712,-2,-1,0.0,7997.257851526987,-0.014481442281090494
2025-03-19,-0.0008029292027155558,-1,0,0.0,7993.259222601224,0
2025-03-20,-0.00042906768309573334,-1,-1,0.0,7929.367415871068,-0.007993210898190274
2025-03-21,0.0013342566477755706,-2,-1,0.0,7824.570259520096,-0.02061420957853293
2025-03-24,-0.0022298798236685493,-1,0,0.0,7820.657974390337,0
2025-03-25,0.0048828415262202425,1,-1,0.0,7810.282032121172,-0.0008271487804485567
2025-03-26,-0.0019736274455984435,-1,0,0.0,7806.376891105112,0
2025-03-27,-0.005680995061993599,-2,-1,0.0,7691.919145966541,-0.014169167485349696
2025-03-28,-0.006398003548383713,-1,0,0.0,7688.073186393558,0
2025-03-31,0.003723361936863512,-2,-1,0.0,7570.922843801059,-0.014745305454906502
2025-04-01,0.004383048042654991,1,0,0.0,7567.137382379158,0
2025-04-02,0.0002497575090577205,1,1,0.0,7598.249467260701,0.004111473508329598
2025-04-03,0.0011185930731395881,1,1,0.0,7753.809891668413,0.02466884104997759
2025-04-04,0.006727630893389384,-2,1,0.0,6858.500697715546,-0.09319319621102438
2025-04-07,0.012401173822581768,1,0,0.0,6855.0714473666885,0
2025-04-08,0.0064498552431662875,-2,1,0.0,6192.437770442565,-0.09621138367687954
2025-04-09,-0.0028786336382230124,-1,0,0.0,6189.341551557344,0
2025-04-10,0.007316639646887779,1,-1,0.0,6425.560445152469,0.038684774303845426
2025-04-11,0.007322555175051093,1,0,0.0,6422.347664929893,0
2025-04-14,-0.00328322546556592,-2,1,0.0,6331.843503634647,-0.013598867633340714
2025-04-15,0.0010516100252668064,1,0,0.0,6328.67758188283,0
2025-04-16,0.003658692662914594,1,1,0.0,6292.681801570894,-0.00568772541280685
2025-04-17,-0.0014798052919407685,-2,1,0.0,6191.415029854599,-0.021199578292518638
2025-04-21,-0.0023887143470346928,-1,0,0.0,6188.319322339672,0
2025-04-22,-0.004450399428606033,-2,-1,0.0,6039.1938867001845,-0.02360969441492079
2025-04-23,-0.013041798025369644,-1,0,0.0,6036.174289756835,0
2025-04-24,-0.005162263909975688,-2,-1,0.0,5904.120400870501,-0.021387777376888083
2025-04-25,-0.00566446656982104,-1,0,0.0,5901.168340670066,0
2025-04-28,-0.005891083739697933,-2,-1,0.0,5783.888669566348,-0.019383666669036632
2025-04-29,-0.0036171466733018556,-1,0,0.0,5780.996725231565,0
2025-04-30,-0.002929760298381249,-2,-1,0.0,5663.774972310901,-0.0197869769209837
2025-05-01,0.0018652665118376415,1,0,0.0,5660.943084824746,0
2025-05-02,0.001640788900355498,1,1,0.0,5761.532568668737,0.017769032886700575
2025-05-05,0.011129531233261028,1,1,0.0,5663.737296369452,0.0004935947072488191
2025-05-06,0.00989710446447134,-2,1,0.0,5568.744681936,-0.015794654057705297
2025-05-07,0.013072096897910038,1,0,0.0,5565.960309595032,0
2025-05-08,0.009729652665555477,1,1,0.0,5563.311053220125,-0.00047597471551137416
2025-05-09,0.009894239250570536,1,1,0.0,5674.577294496287,0.019514509421494176
2025-05-12,0.009699298379321894,1,1,0.0,5875.916231343342,0.05568777075430872
2025-05-13,-0.002372372585038344,-1,1,0.0,5973.597154396316,0.07377435602926877
2025-05-14,-0.0021037844320138297,-1,0,0.0,5970.610355819118,0
2025-05-15,-0.0009339996613562107,-2,-1,0.0,5877.67506306672,-0.015072995841925986
2025-05-16,-0.006043770583346486,-1,0,0.0,5874.736225535187,0
2025-05-19,-0.004613656007374327,-1,-1,0.0,5819.262169582608,-0.009442816464074666
2025-05-20,-0.009850164060480893,-1,-1,0.0,5849.772715190828,-0.00424929892781433
2025-05-21,-0.0042895725928246975,-1,-1,0.0,6010.648376829556,0.023135021910194318
2025-05-22,0.001553666467467944,1,-1,0.0,6046.456057546725,0.02974509249470031
2025-05-23,-0.005901617153237264,-1,0,0.0,6043.432829517952,0
2025-05-27,0.0020668947448333106,1,-1,0.0,6007.9043924238695,-0.005381541102195532
2025-05-28,0.00041125450904170674,1,0,0.0,6004.900440227658,0
2025-05-29,0.0007507350916663805,-2,1,0.0,5917.1581733365465,-0.014118836543386701
2025-05-30,-0.0014146799221634865,-1,0,0.0,5914.199594249879,0
2025-06-02,0.003829000207285086,-2,-1,0.0,5832.344936051821,-0.01334703465049402
2025-06-03,0.0009596354017655054,1,0,0.0,5829.428763583795,0
2025-06-04,0.0016788337379693985,1,1,0.0,5803.634787463494,-0.00442478622973067
2025-06-05,0.006189376891901095,-2,1,0.0,5726.254357728995,-0.017207491585254264
2025-06-06,0.00312062861242642,1,0,0.0,5723.391230550131,0
2025-06-09,0.0007309800324340662,1,1,0.0,5796.985843826923,0.012858567641499192
2025-06-10,-5.107372999191284e-06,0,1,0.0,6249.875480976049,0.0919881638731366
2025-06-11,-0.008031590531269709,-1,1,0.0,5850.670452302496,0.022749802544131493
