date,pred_momentum,signal,in_market,trade_return,portfolio_value,position_return
2024-01-03,0.00029272229100267094,1,0,0.0,9995.0,0
2024-01-04,0.002425551259269317,1,1,0.0,9946.730904454253,-0.0048293242166831925
2024-01-05,0.001265119683618347,1,1,0.0,9931.750862213705,-0.0063280778175382945
2024-01-08,0.0011924519203603268,1,1,0.0,10004.986906472324,0.00099919024235366
2024-01-09,0.001948604437833031,1,1,0.0,9986.67789540767,-0.0008326267726193287
2024-01-10,0.0008983650089552005,1,1,0.0,10019.96694871287,0.0024979438432087622
2024-01-11,0.0005573371114830176,1,1,0.0,9955.053643982463,-0.0039966339187130885
2024-01-12,0.0012362470539907615,1,1,0.0,10051.591200138078,0.005661950989302522
2024-01-16,0.0004108925350010395,1,1,0.0,9985.013728463557,-0.000999126717002884
2024-01-17,0.00013687648121655607,0,1,0.0,9985.013728463557,-0.000999126717002884
2024-01-18,0.0014674363968273003,1,1,0.0,10013.309011064654,0.0018318170149729887
2024-01-19,0.0010193358175456524,1,1,0.0,9958.38261280657,-0.0036635705045952017
2024-01-22,0.002779100090265274,1,1,0.0,9915.106653029045,-0.007993331362776952
2024-01-23,0.0017980838504930337,1,1,0.0,9961.710946694799,-0.003330570615828091
2024-01-24,0.0018582378203670185,-2,1,0.0,9800.350594966207,-0.018984169927264108
2024-01-25,0.002242181838179628,1,0,0.0,9795.450419668725,0
2024-01-26,0.0018513670656830072,1,1,0.0,9815.28913000949,0.0020252984284348627
2024-01-29,0.0008112072634200255,1,1,0.0,9874.805891693022,0.008101258096815665
2024-01-30,0.001029273650298516,1,1,0.0,9902.911309448571,0.010970489888251582
2024-01-31,3.230338916182518e-05,0,1,0.0,9835.12847101149,0.004050661239945939
2024-02-01,-0.0033042399833599725,-1,1,0.0,10076.420233356013,0.029198304510317775
2024-02-02,-0.0013935867852220933,-1,0,0.0,10071.382023239335,0
2024-02-05,-0.00043448619544506073,-1,-1,0.0,10128.094036556615,0.005631006071105122
2024-02-06,0.00041083490941673517,1,-1,0.0,10139.70202755512,0.00728722149093504
